exchange     symbol               timeframe  start_date_utc            method        
binance      FRONT/USDC           1h         2024-05-15T08:00:00.000Z  since_zero    
binance      TRB/USDC             1h         2024-05-15T08:00:00.000Z  since_zero    
binance      ARKM/USDC            1h         2024-05-17T08:00:00.000Z  since_zero    
binance      AR/USDC              1h         2024-05-17T08:00:00.000Z  since_zero    
binance      BB/USDC              1h         2024-05-17T08:00:00.000Z  since_zero    
binance      CRV/USDC             1h         2024-05-17T08:00:00.000Z  since_zero    
binance      PEOPLE/USDC          1h         2024-05-17T08:00:00.000Z  since_zero    
binance      REZ/USDC             1h         2024-05-23T08:00:00.000Z  since_zero    
binance      ENS/USDC             1h         2024-05-29T15:00:00.000Z  since_zero    
binance      LDO/USDC             1h         2024-05-29T15:00:00.000Z  since_zero    
binance      NOT/USDC             1h         2024-05-30T15:00:00.000Z  since_zero    
binance      TNSR/USDC            1h         2024-06-05T08:00:00.000Z  since_zero    
binance      ZK/USDC              1h         2024-07-03T14:00:00.000Z  since_zero    
binance      ZRO/USDC             1h         2024-07-03T14:00:00.000Z  since_zero    
binance      IO/USDC              1h         2024-07-12T08:00:00.000Z  since_zero    
binance      1000SATS/USDC        1h         2024-07-12T08:00:00.000Z  since_zero    
binance      RENDER/USDC          1h         2024-07-26T08:00:00.000Z  since_zero    
binance      TON/USDC             1h         2024-08-22T08:00:00.000Z  since_zero    
binance      DOGS/USDC            1h         2024-08-28T13:00:00.000Z  since_zero    
binance      RARE/USDC            1h         2024-08-28T13:00:00.000Z  since_zero    
binance      SLF/USDC             1h         2024-08-30T08:00:00.000Z  since_zero    
binance      AAVE/USDC            1h         2024-09-04T08:00:00.000Z  since_zero    
binance      POL/USDC             1h         2024-09-13T10:00:00.000Z  since_zero    
binance      ACT/USDC             1h         2024-11-15T08:00:00.000Z  since_zero    
binance      NEIRO/USDC           1h         2024-11-15T08:00:00.000Z  since_zero    
binance      PNUT/USDC            1h         2024-11-15T08:00:00.000Z  since_zero    
binance      CATI/USDC            1h         2024-11-20T08:00:00.000Z  since_zero    
binance      FDUSD/USDC           1h         2024-11-22T08:00:00.000Z  since_zero    
binance      HBAR/USDC            1h         2024-11-22T08:00:00.000Z  since_zero    
binance      OM/USDC              1h         2024-11-22T08:00:00.000Z  since_zero    
binance      RAY/USDC             1h         2024-11-22T08:00:00.000Z  since_zero    
binance      TAO/USDC             1h         2024-11-22T08:00:00.000Z  since_zero    
binance      APE/USDC             1h         2024-11-28T08:00:00.000Z  since_zero    
binance      EIGEN/USDC           1h         2024-11-28T08:00:00.000Z  since_zero    
binance      MEME/USDC            1h         2024-11-28T08:00:00.000Z  since_zero    
binance      TROY/USDC            1h         2024-11-28T08:00:00.000Z  since_zero    
binance      1MBABYDOGE/USDC      1h         2024-11-29T08:00:00.000Z  since_zero    
binance      CETUS/USDC           1h         2024-11-29T08:00:00.000Z  since_zero    
binance      COW/USDC             1h         2024-11-29T08:00:00.000Z  since_zero    
binance      DYDX/USDC            1h         2024-11-29T08:00:00.000Z  since_zero    
binance      HMSTR/USDC           1h         2024-11-29T08:00:00.000Z  since_zero    
binance      TURBO/USDC           1h         2024-11-29T08:00:00.000Z  since_zero    
binance      KAIA/USDC            1h         2024-12-04T08:00:00.000Z  since_zero    
binance      SAND/USDC            1h         2024-12-04T08:00:00.000Z  since_zero    
binance      CHZ/USDC             1h         2024-12-06T08:00:00.000Z  since_zero    
binance      PYTH/USDC            1h         2024-12-06T08:00:00.000Z  since_zero    
binance      RSR/USDC             1h         2024-12-06T08:00:00.000Z  since_zero    
binance      W/USDC               1h         2024-12-06T08:00:00.000Z  since_zero    
